nlist,M,nprobe,p,threads,recall,latency_us
1024,4,32,1000,4,0.908704,262.586
1024,4,32,1000,8,0.908254,2040
1024,4,32,2000,1,0.954853,568.163
1024,4,32,2000,2,0.954903,476.618
1024,4,32,2000,4,0.954853,326.57
1024,4,32,2000,8,0.954903,1601.8
1024,8,8,500,1,0.839853,223.816
1024,8,8,500,2,0.840053,208.885
1024,8,8,500,4,0.839853,199.254
1024,8,8,500,8,0.840003,306.178
1024,8,8,1000,1,0.854053,287.062
1024,8,8,1000,2,0.854053,205.917
1024,8,8,1000,4,0.854053,189.282
1024,8,8,1000,8,0.854053,247.305
1024,8,8,2000,1,0.857103,371.645
1024,8,8,2000,2,0.857103,291.263
1024,8,8,2000,4,0.857103,213.393
1024,8,8,2000,8,0.857103,1176.05
1024,8,16,500,1,0.900254,271.915
1024,8,16,500,2,0.900354,238.347
1024,8,16,500,4,0.900354,184.71
1024,8,16,500,8,0.900304,196.03
1024,8,16,1000,1,0.921903,345.308
1024,8,16,1000,2,0.921903,224.186
1024,8,16,1000,4,0.921903,213.758
1024,8,16,1000,8,0.921903,684.68
1024,8,16,2000,1,0.926553,502.461
1024,8,16,2000,2,0.926553,371.97
1024,8,16,2000,4,0.926553,277.963
1024,8,16,2000,8,0.926553,295.703
1024,8,32,500,1,0.931504,331.082
1024,8,32,500,2,0.931654,301.555
1024,8,32,500,4,0.931454,221.837
1024,8,32,500,8,0.931454,341.341
1024,8,32,1000,1,0.958653,413.573
1024,8,32,1000,2,0.958653,357.866
1024,8,32,1000,4,0.958703,263.385
1024,8,32,1000,8,0.958703,453.634
1024,8,32,2000,1,0.966102,607.982
1024,8,32,2000,2,0.966102,470.913
1024,8,32,2000,4,0.966102,318.982
1024,8,32,2000,8,0.966102,588.771
1024,16,8,500,1,0.857002,249.665
1024,16,8,500,2,0.857002,225.673
1024,16,8,500,4,0.857002,169.775
1024,16,8,500,8,0.857002,229.558
1024,16,8,1000,1,0.857802,323.694
1024,16,8,1000,2,0.857802,248.647
1024,16,8,1000,4,0.857802,195.209
1024,16,8,1000,8,0.857802,212.877
1024,16,8,2000,1,0.858052,413.278
1024,16,8,2000,2,0.858052,291.927
1024,16,8,2000,4,0.858052,224.594
1024,16,8,2000,8,0.858052,284.695
