Threads,Schedule,Chunk,LocalP,AvgRecall,AvgLatency(us)
2,guided,0,50,0.99995,5406.3
2,guided,0,100,0.99995,5722.32
2,guided,1,10,0.99995,5736.63
2,guided,1,20,0.99995,5574.91
2,guided,1,50,0.99995,6217.65
2,guided,1,100,0.99995,6847.13
2,guided,4,10,0.99995,6321.9
2,guided,4,20,0.99995,6179.85
2,guided,4,50,0.99995,6161.32
2,guided,4,100,0.99995,6202.16
2,guided,16,10,0.99995,5927.18
2,guided,16,20,0.99995,5958.25
2,guided,16,50,0.99995,5892.02
2,guided,16,100,0.99995,6569.73
2,guided,64,10,0.99995,5422.52
2,guided,64,20,0.99995,5985.75
2,guided,64,50,0.99995,5845.16
2,guided,64,100,0.99995,5746.67
2,guided,256,10,0.99995,6109.04
2,guided,256,20,0.99995,6475.36
2,guided,256,50,0.99995,6647.32
2,guided,256,100,0.99995,6551.5
2,guided,1024,10,0.99995,5437.77
2,guided,1024,20,0.99995,5811.15
2,guided,1024,50,0.99995,6859.5
2,guided,1024,100,0.99995,6611.37
4,static,0,10,0.99995,3233.49
4,static,0,20,0.99995,2974.03
4,static,0,50,0.99995,3141.81
4,static,0,100,0.99995,2682.78
4,static,1,10,0.99995,7706.17
4,static,1,20,0.99995,7524.41
4,static,1,50,0.99995,6889.81
4,static,1,100,0.99995,6153.58
4,static,4,10,0.99995,4548.61
4,static,4,20,0.99995,4455.59
4,static,4,50,0.99995,4605.38
4,static,4,100,0.99995,5080.12
4,static,16,10,0.99995,2937.68
4,static,16,20,0.99995,3013.46
4,static,16,50,0.99995,3168.82
4,static,16,100,0.99995,2857.67
4,static,64,10,0.99995,2349.63
4,static,64,20,0.99995,2629.77
4,static,64,50,0.99995,2492.63
4,static,64,100,0.99995,3293.6
4,static,256,10,0.99995,3016.82
4,static,256,20,0.99995,3092.26
4,static,256,50,0.99995,3092.85
4,static,256,100,0.99995,3062.93
4,static,1024,10,0.99995,2666.84
4,static,1024,20,0.99995,3045.35
4,static,1024,50,0.99995,2672.22
4,static,1024,100,0.99995,2488.68
4,dynamic,0,10,0.99995,9258.65
4,dynamic,0,20,0.99995,10417.3
4,dynamic,0,50,0.99995,11189.2
4,dynamic,0,100,0.99995,10039
4,dynamic,1,10,0.99995,11470.9
4,dynamic,1,20,0.99995,12365.8
4,dynamic,1,50,0.99995,12867.4
4,dynamic,1,100,0.99995,11524.7
4,dynamic,4,10,0.99995,5545.79
4,dynamic,4,20,0.99995,6071.49
4,dynamic,4,50,0.99995,5594.01
4,dynamic,4,100,0.99995,5094.75
4,dynamic,16,10,0.99995,3313.12
4,dynamic,16,20,0.99995,3443.14
4,dynamic,16,50,0.99995,4522.05
4,dynamic,16,100,0.99995,4343.52
4,dynamic,64,10,0.99995,4400.05
4,dynamic,64,20,0.99995,3994.1
4,dynamic,64,50,0.99995,4858.6
4,dynamic,64,100,0.99995,3553.49
4,dynamic,256,10,0.99995,3097.35
4,dynamic,256,20,0.99995,3195.46
4,dynamic,256,50,0.99995,3180.33
4,dynamic,256,100,0.99995,3354.79
4,dynamic,1024,10,0.99995,3068.56
4,dynamic,1024,20,0.99995,2760.45
4,dynamic,1024,50,0.99995,2905.58
4,dynamic,1024,100,0.99995,3232.84
4,guided,0,10,0.99995,2946.21
4,guided,0,20,0.99995,2807.06
4,guided,0,50,0.99995,2912.69
4,guided,0,100,0.99995,3267.98
4,guided,1,10,0.99995,3125.33
4,guided,1,20,0.99995,3169.5
4,guided,1,50,0.99995,2894.88
4,guided,1,100,0.99995,3632.61
4,guided,4,10,0.99995,2746.28
4,guided,4,20,0.99995,3129.83
4,guided,4,50,0.99995,3036.43
4,guided,4,100,0.99995,3562.9
4,guided,16,10,0.99995,3201.01
4,guided,16,20,0.99995,3224
4,guided,16,50,0.99995,3129.42
4,guided,16,100,0.99995,4694.13
4,guided,64,10,0.99995,4191.42
